project,block_time,borrower,asset_symbol,token_amount,usd_value
Aave,2022-04-20T07:57:49+00:00,\xa4dfe02df1aed4196a42b0009c9ee1e66af21d46,DAI,3641195,3643539.92958
Aave,2022-04-20T08:02:08+00:00,\x2210e6b99e28d4eba28740b7b9835a252620a49d,BUSD,115000,115077.51
Aave,2022-04-20T08:04:05+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,65,201058
Aave,2022-04-20T08:04:42+00:00,\x4544e2fae244ea4ca20d075bb760561ce5990dc3,USDC,20000,20020.54
Aave,2022-04-20T08:09:20+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,45,139194.9
Aave,2022-04-20T08:10:33+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,200,618644
Aave,2022-04-20T08:14:44+00:00,\x97b7b819aef87f45f09337ba5d2ffefba4916609,WETH,15,46445.55
Aave,2022-04-20T08:19:35+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,30,92866.5
Aave,2022-04-20T08:32:27+00:00,\x1f847fd5e08fb559a69280a14e7e904e6dbff81f,USDC,2820276.779794,2821830.75229967
Aave,2022-04-20T08:45:06+00:00,\x21795eb77d2bbd56a7704f048eb53676da96cf0f,WETH,2,6200.74
Aave,2022-04-20T09:02:21+00:00,\x16ce1b15ed1278921d7cae34bf60a81227cfc295,USDC,1.084756,1.0848915945
Aave,2022-04-20T09:28:19+00:00,\x63bd5dc073a565f3d42be1941e6f02eec295c951,USDT,30000,30004.38
Aave,2022-04-20T09:31:10+00:00,\x3b065a49e4bd96961c1717caea0720b1964bb79d,WBTC,1.5,62426.13
Aave,2022-04-20T09:34:03+00:00,\xa731f0052e9221efe4a7475d61071730f799abc7,USDC,19500,19519.344
Aave,2022-04-20T09:52:24+00:00,\x21d942179d0f5dade65cb225e4b1aec40167a8cf,USDC,30,30.02229
Aave,2022-04-20T09:58:41+00:00,\xf3d9b8f6af674e82943b4685728b00d13a62fc9e,USDC,200000,200183.2
Aave,2022-04-20T10:29:22+00:00,\x2ee771b30f673905ae51d8962c0965001c4dcd22,FRAX,400,400.2652
Aave,2022-04-20T11:09:53+00:00,\x777999be819ffecee44a995560a9d0e97780a30c,AMPL,200000,227481.8
Aave,2022-04-20T11:29:54+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,150,468628.5
Aave,2022-04-20T11:33:36+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,100,313057
Aave,2022-04-20T11:44:46+00:00,\x2c2ac999b2b57714bf53016c91044c206c44b479,USDC,4226.424856,4225.74017517333
Aave,2022-04-20T11:47:27+00:00,\x4544e2fae244ea4ca20d075bb760561ce5990dc3,AMPL,200000,222088
Aave,2022-04-20T11:54:55+00:00,\x66b870ddf78c975af5cd8edc6de25eca81791de1,WBTC,60,2519937.6
Aave,2022-04-20T11:55:46+00:00,\x6672a66348fb1792767b34fdcfdb2a63c59f37c6,USDC,10187.017845,10192.6920139397
Aave,2022-04-20T11:55:46+00:00,\xe12984e050197e81368e5817816b5c437bc77925,USDT,9000,8998.407
Aave,2022-04-20T11:56:13+00:00,\x455d7eb74860d0937423b9184f9e8461aa354ebb,USDC,250000,250094.25
Aave,2022-04-20T11:58:43+00:00,\x9cd9f38caf08999e660af70d11bb9ce08f16bc42,USDC,400000,400150.8
Aave,2022-04-20T12:16:31+00:00,\x955207ad12d091fecbddb160667d7ed5be92da09,BUSD,228000,227916.552
Aave,2022-04-20T12:25:57+00:00,\x955207ad12d091fecbddb160667d7ed5be92da09,DAI,101000,101082.719
Aave,2022-04-20T12:28:20+00:00,\x044a9c43e95aa9fd28eea25131a62b602d304f1f,DAI,35000,35036.785
Aave,2022-04-20T12:42:10+00:00,\xb87736c9c2ddbbab1d6b59955a2d5afb8713c2db,USDT,34000,34028.594
Aave,2022-04-20T12:52:11+00:00,\xa1175a219dac539f2291377f77afd786d20e5882,USDT,1000000,1001011
Aave,2022-04-20T12:52:50+00:00,\xc0ca5782c72c88030e62ef6e4c15fef8ccd81627,USDC,620000,620809.1
Aave,2022-04-20T12:54:04+00:00,\x25a76d10b870c07000e9fee68c901d9a354460ab,DAI,2250,2252.32425
Aave,2022-04-20T13:16:43+00:00,\x2f8d4e7b1d771932e1367ee46f4c7be11cd94ac3,DAI,174418,174489.336962
Aave,2022-04-20T13:24:07+00:00,\xe18fe1fe0cbae90b9c373336bec90d3730eedd91,FRAX,60000,59918.52
Aave,2022-04-20T13:25:23+00:00,\x1e5a8256f6e5f188a70143ae5a6df06862d87052,USDC,3990,3993.7905
Aave,2022-04-20T13:30:26+00:00,\x94269a09c5fcbd5e88f9df13741997bc11735a9c,WETH,2914.64098664923,9180565.32615762
Aave,2022-04-20T13:44:51+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,190,595382.1
Aave,2022-04-20T13:47:39+00:00,\x74b3691ebc3fb083e36065a1986d6c490b13e95a,WBTC,25,1047970.25
Aave,2022-04-20T14:21:20+00:00,\x6e3aa85db95bba36276a37ed93b12b7ab0782afb,sUSD,465000,466403.835
Aave,2022-04-20T14:25:54+00:00,\x955207ad12d091fecbddb160667d7ed5be92da09,USDC,98000,98312.424
Aave,2022-04-20T14:28:58+00:00,\xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,USDT,2000000,2005962
Aave,2022-04-20T14:39:04+00:00,\x939e0f3a0a4a9c2cd0be350db247a1b20a016191,USDC,20000,20047.26
Aave,2022-04-20T14:44:15+00:00,\x1dd706bc740d9991d8b4e37d910b76c9fe8b764f,DAI,50000,50125.15
Aave,2022-04-20T14:48:34+00:00,\x7a16ff8270133f063aab6c9977183d9e72835428,USDC,42000,42104.034
Aave,2022-04-20T15:04:27+00:00,\x974012d9590ba6014b83c03a93c7b09706e0a469,WETH,451.390354769965,1404090.32364391
Aave,2022-04-20T15:08:35+00:00,\xc56af5cd10c14a3e31cc39aac81012334342d88a,DAI,2500,2506.8675
Aave,2022-04-20T15:21:54+00:00,\xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,USDC,184100,184073.6737
Aave,2022-04-20T15:22:49+00:00,\xcedb03262cf2024e11d6a58b8add9259742045c7,USDC,5000,4999.285
Aave,2022-04-20T15:32:06+00:00,\x3689c216f8f6ce7e2ce2a27c81a23096a787f532,TUSD,198334.547204128,198809.161775587
Aave,2022-04-20T15:36:07+00:00,\xec32a1b6517b870a0daecc0be1d17a527187039f,USDC,40000,40096.48
Aave,2022-04-20T15:36:19+00:00,\x7a16ff8270133f063aab6c9977183d9e72835428,USDT,250000,250679.75
Aave,2022-04-20T16:01:48+00:00,\x974012d9590ba6014b83c03a93c7b09706e0a469,WETH,1194.2602549855,3671562.07231212
Aave,2022-04-20T16:45:48+00:00,\x2f8d4e7b1d771932e1367ee46f4c7be11cd94ac3,DAI,352112,351965.169296
Aave,2022-04-20T17:03:45+00:00,\x5b18d0b3aba00545c5443da700bf471391e15567,DAI,152690.461150399,152644.04325021
Aave,2022-04-20T17:22:54+00:00,\x2f8d4e7b1d771932e1367ee46f4c7be11cd94ac3,DAI,176000,175976.24
Aave,2022-04-20T17:57:17+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,520.215571495424,1600484.82295139
Aave,2022-04-20T18:47:30+00:00,\x9c5c1a5be23ae128f0b2cbd4dfb95774321e3d5c,DAI,20,19.953
Aave,2022-04-20T18:48:10+00:00,\x9c5c1a5be23ae128f0b2cbd4dfb95774321e3d5c,DAI,10,9.9765
Aave,2022-04-20T18:57:18+00:00,\xd67580993b7d5160111916326ece9d667aeb41b1,USDT,4000,3992.304
Aave,2022-04-20T18:58:29+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,1.32,4017.42
