block_time,nft_project_name,platform,evt_type,usd_amount,seller,buyer,original_amount,original_currency,block_number,nft_token_id,tx_hash
2022-04-20T04:48:28+00:00,Terraforms,LooksRare,Trade,1762168.81,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,571,WETH,14619842,5283,\x589cafcf8c926c79a5b040682dd390c135e5bbb0904432b00d0f9a62e847c9ea
2022-04-20T04:49:04+00:00,Meebits,LooksRare,Trade,18516.66,\xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,\xd1fd1d4a9180feb4432a47a3177b311d12af0c01,6,WETH,14619845,6611,\x068d3d85ac09db078f26bdc7954829b05f29a51981a19a0006c5953e34fb087f
2022-04-20T04:51:10+00:00,Quirkies Originals,LooksRare,Trade,7998.4121,\x837cdfacb71e3d561801296d31eaa78d3f961612,\xdc0d08c6bc98ecdf176941de7517018f613e8977,2.59,WETH,14619851,1893,\x16970c315c652f1ac27b7d8a2673ab7d4a7e6df134d7280a071a02d73017e276
2022-04-20T04:52:15+00:00,Animetas,LooksRare,Trade,360.082954,\x2718e86f5793ac08bd3c4a301382e8c1da2a1e30,\x4d0a70a1b1e3c7c85a16070052a0db3994cacefb,0.1166,WETH,14619855,7719,\x6378d086e688aa5cc9238e8f19b1808660daa3ca0bd5032501cf964ba5d61774
2022-04-20T04:53:34+00:00,Terraforms,LooksRare,Trade,1204394.1,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,\x6f124a460e752eddacaa294800908393a3cad980,390,WETH,14619860,1865,\xb09615213e2576fd80bdc2b8e239c0a469897afd4cd51cb0ccdb5072d553bd49
2022-04-20T04:54:15+00:00,ABSOLUTELY DO NOT MINT,LooksRare,Trade,586.7561,\xddb78a939eb9ebcbeb77c19ec9e5de94c5395d94,\x83728593e7c362a995b4c51147afeca5819bbda1,0.19,WETH,14619863,587,\xcaa872234ad3990347ca6cd639ea1673dca23561b02320bec85f48dca93bd9ff
2022-04-20T04:55:46+00:00,Terraforms,LooksRare,Trade,1725247.29,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,559,WETH,14619873,9728,\x7c2383e7a04121fcab8f4b46332a579c9336d3a835e22e12acfe6e85d4e24296
2022-04-20T04:56:41+00:00,Luchadores.io,LooksRare,Trade,169.74705,\x2718e86f5793ac08bd3c4a301382e8c1da2a1e30,\x62f56981d431e68b5cab37ae3a242a72824d3ac7,0.055,WETH,14619877,9057,\xdbf804cfebe2c01fd37a866067cb884b03a388093b82dd5a89cee53d0fda049e
2022-04-20T04:56:41+00:00,ABSOLUTELY DO NOT MINT,LooksRare,Trade,370.3572,\xddb78a939eb9ebcbeb77c19ec9e5de94c5395d94,\x7636b13b19d4f8b948d85734a2b6d110f2b2302f,0.12,WETH,14619877,637,\xef99558c19d2a0ac6be6ee8b9176e7efa874818247651cb445e9913e6dfee503
2022-04-20T04:56:41+00:00,OpenSea Collection,OpenSea,Trade,339.4941,\xca4c0312ff5663cb06301207191522efba0d519f,\x79db072377b676ced35d5923d04392f96f96d9d6,0.11,ETH,14619877,91501497008151221125596935841676000512183505427004855270702190491691290460161,\xee562e96e7b310f20775d80dfc482a08b339ea4fbb458fad22a12f3848d18e1c
