project,version,block_time,block_number,tx_hash,evt_index,borrower,tx_from,asset_address,asset_symbol,token_amount,usd_value
MakerDAO,2,2022-04-20T05:34:21+00:00,14620036,\x2ebc459451a5578b8c3e840ed3a49d1d60820941be7d5c1e383a11a772d37fb7,202,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-1260699,-1261454.158701
MakerDAO,2,2022-04-20T06:53:35+00:00,14620403,\x3c08444e8d47080e58c6cd72d3e1a6f301715ce6d184510f5e9ca587ed623358,156,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-932685.775994244,-932918.947438242
MakerDAO,2,2022-04-20T06:54:59+00:00,14620412,\xfe9c44f79e2ccdcadb0564321b987474e9ef77f5be8935b97b4f78f812e99476,377,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-700912.636434397,-701087.864593505
MakerDAO,2,2022-04-20T09:04:28+00:00,14620995,\x88e1cecb15b888707ebd5d0c8222e1a4985e08950aafeea9b1d03b679916e966,56,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-780608.243634234,-780627.758840325
MakerDAO,2,2022-04-20T09:05:30+00:00,14620999,\x62071b1325220083f189b1c94148c592d1808a70ecd84997570e7cfee68275b4,12,\x8ffefe3afd3227d1026af42034712be05be8a4de,\xb8bbf36ba36fc78f3f137c514af33709fffba604,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-38140.6677437805,-38141.6212604741
MakerDAO,2,2022-04-20T09:05:43+00:00,14621001,\x7379a9a1bbee03866cf617789cfe53068512671ab4af5eacf028ec0a2bc28d14,429,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-529125,-529138.228125
MakerDAO,2,2022-04-20T09:11:26+00:00,14621023,\x6c659cdcb05540a2ba9997f5c1f525f74bb2eb9a9bd58c72dd74d7008e758226,36,\x8ffefe3afd3227d1026af42034712be05be8a4de,\xb8bbf36ba36fc78f3f137c514af33709fffba604,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-160204.224005756,-160258.693441918
MakerDAO,2,2022-04-20T09:12:52+00:00,14621029,\xbbe1dfadefd8865ae85ebaa205277044e632c38dce4ac852a1e129e81762ee1f,32,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-379269.363565603,-379398.315149216
MakerDAO,2,2022-04-20T10:04:13+00:00,14621255,\xe7c1e2419f79165badcd90d8469c95a43a7147a899b2e57d3ce1ef5efd970e5e,170,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-188754.932549083,-188939.912382981
MakerDAO,2,2022-04-20T10:57:04+00:00,14621482,\x3b24c7d74ec583f73076c0bb1d4a9472750efc7b466be169d462a49e4524b203,8,\x3684cd59d6be532b5a8c816629a4144ebf2c0c7d,\xd9bebddacff6292e7a664dc9679092b2a4307628,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-1057268,-1058278.748208
MakerDAO,2,2022-04-20T11:30:40+00:00,14621625,\x5489cc70dca2b07b7dec91e3fec122d58e722505c8e368eda6a01704864521ba,101,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-450000,-450357.3
MakerDAO,2,2022-04-20T11:33:54+00:00,14621640,\x312053ef003b5d8c3950c8ecc7c24ad30f071890eb2e7dc9110b1c847e46e2a3,138,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,\xa8162ebe6170d30219e0e251fca451d454c19f98,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-450000,-450357.3
MakerDAO,2,2022-04-20T11:38:56+00:00,14621664,\x9cd3e3558cb91bf86ed42d1da52b62a96d6e376c28ad91e13a15ee21a9b35620,200,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-450000,-449869.5
MakerDAO,2,2022-04-20T11:53:17+00:00,14621730,\x43ee8600047526c1da21b4af4520068cc58ec7876e0f18427a1e10520d3ea3c8,233,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,\x996f3914ed86f376dc3c56bcb475eefd4d701802,\x0000000000085d4780b73119b644ae5ecd22b376,TUSD,-236895.801676208,-236945.786690361
