block_time,token_a_symbol,token_b_symbol,token_a_amount,token_b_amount,project,category,usd_amount,trader_a
2022-04-20T00:04:27+00:00,WETH,TOKE,25.5830031259749,4172.06,Uniswap,DEX,79485.8790523415,\xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
2022-04-20T00:04:27+00:00,USDC,WETH,79171.054924,25.5830031259749,Uniswap,DEX,79243.1005839808,\x7b21c3af19a2eea14ea61ab55d0a0c389bb15210
2022-04-20T00:04:38+00:00,WETH,USDC,7.43480187581481,23041.118219,0x API,Aggregator,23099.7807321191,\xe92f359e6f05564849afa933ce8f62b8007a1d5d
2022-04-20T00:04:38+00:00,OHM,ETH,831.140195423,6.52804,1inch,Aggregator,20232.6154936,\x1f1c96b177cb49791bf13b16cbe3461089af475e
2022-04-20T00:04:38+00:00,DAI,WETH,20223.8057925915,6.52804,Balancer,DEX,20242.9172890655,\x1f1c96b177cb49791bf13b16cbe3461089af475e
2022-04-20T00:04:38+00:00,OHM,DAI,831.140195423,20223.8057925915,Sushiswap,DEX,20242.9172890655,\x220bda5c8994804ac96ebe4df184d25e5c2196d4
2022-04-20T00:04:38+00:00,LOOKS,WETH,9083.40737303504,5,Uniswap,DEX,15534.9,\xd82186750d56bce592432127816554ac9761c8bd
2022-04-20T00:04:38+00:00,USDC,WETH,68646.321689,22.1733602477256,Uniswap,DEX,68708.789841737,\xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52
2022-04-20T00:04:38+00:00,FRAX,USDC,68619.9164649001,68646.321689,Uniswap,DEX,68581.4893116798,\x98041ab523024dacaefa3bb70dd982dbac68e855
2022-04-20T00:04:38+00:00,USDC,WETH,259956.813373,83.9515649055,Uniswap,DEX,260193.374073169,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:04:38+00:00,WETH,USDC,162.338679105808,503100,Uniswap,DEX,503557.821,\x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-04-20T00:04:38+00:00,WETH,USDC,7.43480187581481,23041.118219,Uniswap,DEX,23062.0856365793,\xdef1c0ded9bec7f1a1670819833240f027b25eff
2022-04-20T00:04:38+00:00,FXS,FRAX,2012.31222848052,68619.9164649001,Uniswap,DEX,68861.3244586034,\x98041ab523024dacaefa3bb70dd982dbac68e855
2022-04-20T00:04:56+00:00,WETH,FXS,8.09863168008643,733.641154160139,0x API,Aggregator,25162.286657395,\x635a10bc282c9ceed755d185809f753daa086bf3
2022-04-20T00:04:56+00:00,WETH,FXS,8.09863168008643,733.641154160139,Matcha,Aggregator,25162.286657395,\x635a10bc282c9ceed755d185809f753daa086bf3
2022-04-20T00:04:56+00:00,FXS,WETH,733.641154160139,8.09863168008643,Uniswap,DEX,25105.2002953599,\x635a10bc282c9ceed755d185809f753daa086bf3
2022-04-20T00:04:56+00:00,WETH,ELONONE,3.5764647924105,269604937077.276,Uniswap,DEX,11112.0045807236,\x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-04-20T00:04:59+00:00,LOOKS,WETH,29914.3394032166,16.4950041888615,Uniswap,DEX,51249.6481147089,\x2eccb84f55444fe5525729cb5c2ccb2dd83b20fc
2022-04-20T00:04:59+00:00,WETH,USDC,16.4950041888615,51117.217722,Uniswap,DEX,51163.734390127,\x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-04-20T00:04:59+00:00,USDC,WETH,18553.015682,6,Uniswap,DEX,18569.8989262706,\x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e
2022-04-20T00:05:02+00:00,WETH,APE,4.74177342667335,1105.40299466835,0x API,Aggregator,14732.5952012056,\xef0b939361a6403c86ecb22e90e344605018e7ff
2022-04-20T00:05:02+00:00,WETH,USDT,39.99,123631.556601,0x Native,DEX,124248.1302,\x8d90113a1e286a5ab3e496fbd1853f265e5913c6
2022-04-20T00:05:02+00:00,WBTC,WETH,2.05534085,27.49921875,Balancer,DEX,85408.949099044,\x76e40d0a69fd81826b5eb7d18145626d46eafdef
2022-04-20T00:05:02+00:00,WETH,USDT,39.99,123631.556601,Tokenlon,Aggregator,124248.1302,\x11f66e0c0793cdb5044d72f47de4364870c4503e
2022-04-20T00:05:02+00:00,WBTC,WETH,1.33422596,17.86145963,Uniswap,DEX,55443.2794464544,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:05:02+00:00,WETH,APE,4.74177342667335,1105.40299466835,Uniswap,DEX,14732.5952012056,\xdef1c0ded9bec7f1a1670819833240f027b25eff
2022-04-20T00:05:56+00:00,USDC,WETH,153613.022236,49.62252376575,Uniswap,DEX,153752.810086235,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:05:56+00:00,UST,MIAU,20801.7438111638,798.596496946958,Uniswap,DEX,20820.2157596681,\x4a20250d4383b8da51c49620315f0ab905a0b541
2022-04-20T00:05:58+00:00,WETH,USDC,6.66920601798738,20642.860162,0x API,Aggregator,20721.0897137664,\x5ae1bb3c234ce4436133d4c4b6a8665257cc0acb
2022-04-20T00:05:58+00:00,WETH,USDC,6.66920601798738,20642.860162,Matcha,Aggregator,20721.0897137664,\x5ae1bb3c234ce4436133d4c4b6a8665257cc0acb
2022-04-20T00:05:58+00:00,APE,WETH,811.028991869314,3.5,Uniswap,DEX,10811.016461618,\x6a3bf16bba8d8e9b9738c0e97940f3f5e55d2417
2022-04-20T00:05:58+00:00,USDC,WETH,20642.860162,6.66920601798738,Uniswap,DEX,20661.6451647474,\x5ae1bb3c234ce4436133d4c4b6a8665257cc0acb
2022-04-20T00:06:12+00:00,WBTC,WETH,2.08385355,27.91023482425,Uniswap,DEX,86461.16764305,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:06:12+00:00,WBTC,WETH,4.8467494,64.9017595111885,Uniswap,DEX,201096.4793554,\xf07704777d6bc182bf2c67fbda48913169b84983
2022-04-20T00:06:12+00:00,WBTC,WETH,1.447,19.3727983413492,Uniswap,DEX,60037.477,\xe8e94d9cf931f122efac4ff85c6119377a4bdc2d
2022-04-20T00:06:17+00:00,WETH,USDC,3.25796153504769,10081.899076,0x API,Aggregator,10098.019198265,\x3dc2627e124ec5095ea8b2716f725921ddd7a4ae
2022-04-20T00:06:17+00:00,REN,BNT,45875.8068653761,7637.61348479356,Bancor Network,DEX,17590.9863909147,\x000000370531eee8149ed162d387aad537899ac7
2022-04-20T00:06:17+00:00,WETH,USDC,3.25796153504769,10081.899076,Matcha,Aggregator,10098.019198265,\x3dc2627e124ec5095ea8b2716f725921ddd7a4ae
2022-04-20T00:06:17+00:00,USDC,WETH,10081.899076,3.25796153504769,Sushiswap,DEX,10084.5606973561,\x3dc2627e124ec5095ea8b2716f725921ddd7a4ae
2022-04-20T00:06:17+00:00,SHIB,WETH,857220016.820332,7.01308661339128,Uniswap,DEX,21430.5004205083,\xf07704777d6bc182bf2c67fbda48913169b84983
2022-04-20T00:06:17+00:00,WBTC,WETH,8.07157297,108.108064516124,Uniswap,DEX,334897.63409827,\x8aff5ca996f77487a4f04f1ce905bf3d27455580
2022-04-20T00:06:37+00:00,QSP,WETH,155145.360925131,3.59980043797843,Uniswap,DEX,11244.7806144926,\x0000000000d9455cc7eb92d06e00582a982f68fe
2022-04-20T00:06:37+00:00,WETH,QSP,3.67609148607067,155145.360925131,Uniswap,DEX,11244.7806144926,\x0000000000d9455cc7eb92d06e00582a982f68fe
2022-04-20T00:06:37+00:00,WETH,USDC,6.56800920891077,20350,Uniswap,DEX,20355.3724,\xe592427a0aece92de3edee1f18e0157c05861564
2022-04-20T00:06:37+00:00,QSP,WETH,277181.120460248,6.56800920891077,Uniswap,DEX,20089.8104298383,\xcdeab89b989f6cb6f73d5d9a151d25233254b1f5
2022-04-20T00:06:37+00:00,WETH,USDC,31.1430087065092,96500,Uniswap,DEX,96525.476,\x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-04-20T00:06:52+00:00,WETH,USDC,4.84050117937312,15000,Uniswap,DEX,15003.0850004552,\x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-04-20T00:06:52+00:00,STARL,WETH,1117217432.95,4.49655262643953,Uniswap,DEX,13406.6091954,\x7aa7f0528d551096463d60380139844f6d4a6ac2
2022-04-20T00:07:01+00:00,APE,USDC,10479.3336086818,139859.868307,1inch,Aggregator,140318.27702025,\x98e24cd4820702e07a195de1fbb34a0ab6656b53
2022-04-20T00:07:01+00:00,USDC,APE,19020.942089,1428.94461621034,1inch,Aggregator,19025.9636177115,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,WETH,APE,5.95711240121017,1385.50378507062,1inch,Aggregator,18551.8956820956,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,USDC,APE,19020.942089,1428.94461621034,1inch Limit Order Protocol,DEX,19025.9636177115,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,WETH,APE,5.95711240121017,1385.50378507062,1inch Limit Order Protocol,DEX,18551.8956820956,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,APE,USDC,2762.78048830408,36923.005233,Uniswap,DEX,36993.6307383917,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,WETH,USDC,27.0777836418644,83915.920985,Uniswap,DEX,83927.3196201224,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:01+00:00,APE,WETH,2132.77424677923,9.20644643823391,Uniswap,DEX,28557.8471643739,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a
2022-04-20T00:07:02+00:00,USDC,WETH,185391.73734,59.88597035475,Uniswap,DEX,185440.680758658,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:07:23+00:00,APE,WETH,1063,4.59007306730152,Uniswap,DEX,14233.57,\x22c48e3c0ebd634d86197e2e0764c3785c0d933c
2022-04-20T00:07:26+00:00,USDT,CVX,50086.703307,1772.316081,1inch,Aggregator,49819.80503691,\x4e484b661d183d4281f09288f492747ee5647a53
2022-04-20T00:07:26+00:00,USDC,WETH,109935.156949,35.518622685375,Uniswap,DEX,109964.179830435,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9
2022-04-20T00:07:26+00:00,USDC,WETH,50103.79915,16.1898549923601,Uniswap,DEX,50117.0265529756,\x220bda5c8994804ac96ebe4df184d25e5c2196d4
2022-04-20T00:07:26+00:00,USDC,USDT,18889.049856,19000,Uniswap,DEX,18894.036565162,\x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e
2022-04-20T00:08:14+00:00,ETH,BTRFLY,41.611146234563,794.900953772,1inch,Aggregator,128912.579369063,\x0965506ac3e379302fa79e2e03fb668de4edf638
2022-04-20T00:08:14+00:00,WETH,XDEFI,3.72498732315817,10461.9016417736,1inch,Aggregator,11545.5609582555,\x0d9326f283d8ca7eeea4d323d07a0c9c0ab1a192
2022-04-20T00:08:14+00:00,DAI,OHM,64382.6542585521,2664.644698689,Sushiswap,DEX,64387.8692535471,\x220bda5c8994804ac96ebe4df184d25e5c2196d4
2022-04-20T00:08:14+00:00,OHM,DAI,1960.915110243,47645.7854342689,Sushiswap,DEX,47649.644742889,\xe9ab8038ee6dd4fcc7612997fe28d4e22019c4b4
2022-04-20T00:08:14+00:00,WETH,XDEFI,3.72498732315817,10461.9016417736,Sushiswap,DEX,11545.5609582555,\x0d9326f283d8ca7eeea4d323d07a0c9c0ab1a192
2022-04-20T00:08:14+00:00,WETH,DAI,20.7794846437171,64382.6542585521,Uniswap,DEX,64405.8048583548,\x220bda5c8994804ac96ebe4df184d25e5c2196d4
2022-04-20T00:08:14+00:00,WETH,BTRFLY,20.8316615939125,397.450476886,Uniswap,DEX,64567.5267937157,\x220bda5c8994804ac96ebe4df184d25e5c2196d4
2022-04-20T00:08:14+00:00,DAI,WETH,47645.7854342689,15.3901726626286,Uniswap,DEX,47649.644742889,\x055475920a8c93cffb64d039a8205f7acc7722d3
2022-04-20T00:08:14+00:00,BTRFLY,WETH,232.752326867,12.3121381301029,Uniswap,DEX,38161.3490128725,\xeef86c2e49e11345f1a693675df9a38f7d880c8f
2022-04-20T00:08:14+00:00,MVIXY,UST,203.027365034251,21931.0648838126,Uniswap,DEX,21959.6191302913,\x4a20250d4383b8da51c49620315f0ab905a0b541
2022-04-20T00:09:11+00:00,FXS,FRAX,400,13568.4102860128,0x API,Aggregator,13724,\x635a10bc282c9ceed755d185809f753daa086bf3
